State;StateAbbr;Category;JurisNameSimple;Jurisdiction;Assistance to Households: Rent, Rental Arrears, Utilities Paid (Excludes Housing Stability/Admin Costs) (January 2021 - June 2022) ($ 2);Assistance to Households Expenditure Ratio as of June 30, 20225;Households Assisted 3 (January 2021 - June 2022);"Total ERA 1 Allocation, Award, and Disbursement 
$ Millions4"
California;CA;Total;;California;2616797068;;352839;2837931763
California;CA;State Total;State/DC;State/DC;1806121086;;229548;2000789472
California;CA;State/DC;State of California;State of California;1806121086;100+%;229548;2000789472
California;CA;Local Total;Local Government;Local Government;810675982;;123291;837142291
California;CA;County;Alameda;Alameda County;25260802;95%;1685;29648131
California;CA;City; County of San Francisco;City and County of San Francisco;13900334;59%;1905;26209982.7
California;CA;City;Anaheim;City of Anaheim;10909776;100+%;1483;10416959.9
California;CA;City;Bakersfield;City of Bakersfield;16200642;100+%;2527;11421298
California;CA;City;Chula Vista;City of Chula Vista;8592023;99%;1945;9616944.54
California;CA;City;Fremont;City of Fremont;5990649;88%;432;7539045.66
California;CA;City;Fresno;City of Fresno;13071350;92%;2904;15804677.7
California;CA;City;Irvine;City of Irvine;10245798;100+%;1214;8544930.9
California;CA;City;Long Beach;City of Long Beach;12949007;98%;2898;14720350.27
California;CA;City;Los Angeles;City of Los Angeles;149778795;100+%;12742;118319705.8
California;CA;City;Modesto;City of Modesto;3029366;90%;415;3727915.46
California;CA;City;Moreno Valley;City of Moreno Valley;6350603;100+%;793;6942977.34
California;CA;City;Oakland;City of Oakland;9920121;86%;1097;12874763.7
California;CA;City;Riverside;City of Riverside;14863091;100+%;1981;9851908.3
California;CA;City;Sacramento;City of Sacramento;16020856;100+%;3928;17666323.6
California;CA;City;San Bernardino;City of San Bernardino;5844128;100+%;1054;6415633.1
California;CA;City;San Diego;City of San Diego;76625867;100+%;13903;57775950.24
California;CA;City;San Jose;City of San Jose;23291900;85%;2503;30379739.9
California;CA;City;Santa Ana;City of Santa Ana;8885228;100%;1661;9880391.3
California;CA;City;Santa Clarita;City of Santa Clarita;5467878;96%;824;6332235.5
California;CA;City;Stockton;City of Stockton;10177161;100+%;1687;10459592.84
California;CA;County;Fresno;Fresno County;20938334;100+%;5095;13900330.2
California;CA;County;Kern;Kern County;15866942;100+%;2481;15343270.8
California;CA;County;Marin;Marin County;14362119;100+%;1042;7695346.5
California;CA;County;Merced;Merced County;2580959;89%;671;3220000.6
California;CA;County;Monterey;Monterey County;11696967;94%;3135;13864582.91
California;CA;County;Orange;Orange County;33987548;58%;5739;65576556.3
California;CA;County;Placer;Placer County;10639369;100%;3073;11843012.9
California;CA;County;Riverside;Riverside County;51459115;100%;9382;57267219.7
California;CA;County;Sacramento;Sacramento County;29252972;100+%;7840;30874446.3
California;CA;County;San Bernardino;San Bernardino County;35855993;77%;4685;52023225.2
California;CA;County;San Diego;San Diego County;58707443;100+%;10807;63763027.62
California;CA;County;San Joaquin;San Joaquin County;2259442;72%;720;3491549.92
California;CA;County;Santa Barbara;Santa Barbara County;14266135;100+%;1837;15477578.84
California;CA;County;Santa Clara;Santa Clara County;16467563;68%;1727;26938648.2
California;CA;County;Solano;Solano County;13175760;100+%;1481;13309203.8
California;CA;County;Sonoma;Sonoma County;29148161;100+%;3616;14697467.8
California;CA;County;Stanislaus;Stanislaus County;2635785;89%;379;3307365.62
Texas;TX;Total;Texas;Texas;1676916043;;390532;2000440605
Texas;TX;State Total;State/DC;State/DC;1124411782;;227127;1355896953
Texas;TX;State/DC;State of Texas;State of Texas;1124411782;92%;227127;1355896953
Texas;TX;Local Total;Local Government;Local Government;552504261;;163405;644543652.4
Texas;TX;County;Bell;Bell County;20392183;100+%;2484;11157295.49
Texas;TX;County;Bexar;Bexar County;10023420;81%;2695;13788576.2
Texas;TX;County;Brazoria;Brazoria County;8559528;96%;1085;9925345.85
Texas;TX;County;Brazos;Brazos County;4048536;71%;1172;6316899.72
Texas;TX;County;Cameron;Cameron County;9985829;99%;2471;11157185.45
Texas;TX;City;Arlington;City of Arlington;13479648;88%;7578;17051814.9
Texas;TX;City;Austin;City of Austin;25200032;91%;4585;30630087.3
Texas;TX;City;Corpus Christi;City of Corpus Christi;8870421;100%;1826;9868157.3
Texas;TX;City;Dallas;City of Dallas;37254455;100+%;16019;41162972.69
Texas;TX;City;El Paso;City of El Paso;19028894;100+%;13605;20599165.7
Texas;TX;City;Fort Worth;City of Fort Worth;35362931;100+%;7486;37484117
Texas;TX;City;Frisco;City of Frisco;4709854;86%;902;6058027.1
Texas;TX;City;Garland;City of Garland;5873596;94%;1747;6914631.54
Texas;TX;City;Houston;City of Houston;70090168;95%;18936;82260774.72
Texas;TX;City;Irving;City of Irving;6623457;100+%;1581;7245761.9
Texas;TX;City;Laredo;City of Laredo;3283434;64%;2181;5708494.7
Texas;TX;City;Lubbock;City of Lubbock;7509287;99%;3388;8420675.07
Texas;TX;City;Plano;City of Plano;8190416;100+%;2367;8692478.8
Texas;TX;City;San Antonio;City of San Antonio;52495068;100+%;14733;55583836.81
Texas;TX;County;Collin;Collin County;12644453;81%;2647;17440494.8
Texas;TX;County;Dallas;Dallas County;19700852;86%;7343;25359199.68
Texas;TX;County;Denton;Denton County;20706823;100%;4712;23069574.1
Texas;TX;County;El Paso;El Paso County;3383814;96%;1292;3910002.85
Texas;TX;County;Fort Bend;Fort Bend County;17714874;85%;7651;23249662.1
Texas;TX;County;Harris;Harris County;72351743;88%;18763;91315180.31
Texas;TX;County;Hays;Hays County;4067923;100+%;1222;4408031.72
Texas;TX;County;Hidalgo;Hidalgo County;10978332;80%;2844;15304442.33
Texas;TX;County;Jefferson;Jefferson County;5796676;100+%;1621;6011262.77
Texas;TX;County;Lubbock;Lubbock County;781472;77%;246;1129337.8
Texas;TX;County;McLennan;McLennan County;4550659;79%;1443;6362697.59
Texas;TX;County;Montgomery;Montgomery County;1984585;28%;416;7779819.03
